PD9,PD13A,PD17,AG4A,AG4B,AG4F,AG4G,AG4H,AG5,AG6,LE3,LE4,LE9,LE11,LE12,CD16,SA11G,SA11I,PD1A,PD1B,PD1C,PD1D,PD1E,PD1F,PH4,PR4,PR8,PR13,FN15,FN16,FN21,FN22,FN23,CN5,CN6,CN7,CN7_3,CN7_4,CN7_5,CN12,CN13,CN15,CN16A,LE10,DA36_3,DA39,DA41,DE20_7,CH9,CH52,CH60,CH74,CH81,CH89,CH103,CD1A,CD1B,CD1D,CD1G,CD1H,CD1J,CD1K,CD7,CD9,CD16B,CD16C,CD16D,CD16E,CD16F,CD16G,CD16H,SA11A,SA11C,SA11E,SA11K,SA11L,SA11N,PEC40,PEC41,PEC42,PEC43,PEC44,PEC45,PEC46,PEC47,PEC48,PEC49,PEC50,PEC51,PEC52,PEC53,PEC54,PEC55,PEC56,PEC57,PEC58,PEC59,PEC60,PEC61,PEC62,PEC63,PEC64,PEC65,PEC66,PEC67,PEC68,PEC69,PEC70,PEC71,PEC72,PEC73,PEC74,PEC75,PEC76,PEC77,PEC78,PEC79,PEC80,PEC81,PEC82,PEC83,T1,T2,T3,T4,M9,FD2,FN22A,CD11,SA17,PEA1,PEA2,PEA6,PEA8,PEA10,PEA21,PEA23,PEA24,PEA25,PEA26,PEA28,PEA29,PEA31,PEA32,PEA40,PEA41,PEA43,PEA44,PEA45,FD2A,NSD1E,NSD1G,NSD1I,NSD1J,NSD1M,NSD1N,DE20_8A,CH52A,CH76_1,SA14,SA15,SA16,AG4C,AG4D,AG4E,FN25,LE1,LE2,DA36_1,DE20_2,CD32,CD33,CD37,D_ADD12,D_AGO12,D_AGOWO12,EMPCAT,PEA4,PEA5,PEA7,PEA11,PEA19,PEA20,PEA22,NSD1B,NSD1H,NSD1K,REGION,AGECAT,EDUCAT,INC_CAT,PD22,CH47_2,CH76_2,PR4B,PR5,LE5,DA36_2,CD1C,CD1E,CD1F,CD1I,CD16A,AG1A,AG1C,AG1D,AG1E,AG1G,AG1H,AG1J,AG1B,AG1F,AG1I,AG1K,MARCAT,PEA3,PEA27,PEA30,PEA42,NSD1A,NSD1C,NSD1D,NSD1L,PR6,FN14A,FN19,CN10,CN11,DA41C,CH37A,CH37B,CH37C,CH37D,CH37E,CH42,CH44,CH47_1,CH47_3,CH47_4,CH76,CH76_3,CH76_4,CO8A,CO8B,CO8C,CO8D,CO8E,CO8F,CO8G,CO8H,CO8I,CO8J,CO8K,PR3,FN12,FN14,CH1,FN3,SEX1,SEX2,FN6,CHAGE1,CHAGE2,RESEX,CN9,DA37,DA37A,DA38,DA38A,DE20_8G4,DE20_8G5,DE20_8G6,DE20_8G7,DE20_8G8,DE20_8G9,DE20_8G10,AGE18_34,AGE35_49,AGE50_64,AGE65,EDU0_11,EDU12,EDU13_15,EDU16,MAR_COH,MAR_SWD,MAR_NEV,EMP_WORK,EMP_STU,EMP_HM,EMP_RET,EMP_OTH,INC_LO,INC_LOAVG,INC_HIAVG,INC_HI,PEREARN2,SPEARN2,OTHINC2,HHINCOME2,INCPERCAP2
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,-7,-7,-7,1,1,5,5,1,1,-9,1,5,1,5,5,5,5,5,5,1,5,5,-7,-7,-7,-7,-7,-7,5,5,1,1,1,5,5,5,5,5,5,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,-7,-7,-7,5,5,5,5,5,5,1,5,1,5,1,1,1,1,1,1,5,1,1,1,5,1,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-7,4,-7,1,-7,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,2,4,2,4,2,2,-7,2,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,1,1,1,2,2,2,2,3,1,2,2,-7,3,3,5,5,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,1,2,2,2,4,2,1,4,1,1,4,-7,-7,-7,4,4,4,4,4,1,4,2,2,1,1,2,2,2,3,2,2,2,4,4,2,2,3,2,3,1,3,2,2,-7,-7,-7,-7,-7,2,-7,3,5,5,5,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,2,2
1,5,5,-7,-7,-7,-7,-7,-7,-7,5,5,5,1,5,-7,-7,-7,1,5,5,5,1,5,-9,-7,-7,-7,5,5,1,5,5,-7,-7,5,-7,5,5,5,5,1,5,5,5,-6,5,-7,5,5,5,5,5,5,5,5,1,5,5,1,5,5,1,5,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,1,5,5,5,5,1,5,5,5,5,5,1,1,5,5,5,5,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,1,5,1,5,5,5,5,5,5,2,4,-7,1,-7,2,3,3,3,1,3,3,2,2,3,3,3,2,3,2,3,3,3,3,2,2,4,2,4,2,4,1,-7,2,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,1,5,5,5,5,5,3,2,3,1,2,3,2,4,4,2,2,3,3,3,-7,2,3,-7,-7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,3,3,3,3,4,4,2,2,-7,3,4,4,4,2,4,4,4,4,4,1,2,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,1,-7,1,2,2,2,-7,-7,-7,-7,-7,1,8,6,7,6,7,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,5,0,0,5,5
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-9,1,5,1,5,5,5,1,5,1,1,5,5,-7,-7,5,5,1,5,5,5,1,5,1,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,-7,2,2,-7,-7,3,4,4,4,1,4,2,4,4,4,4,4,2,2,2,4,4,4,4,2,1,1,4,1,4,1,1,-7,2,-7,-7,-7,-7,-7,-7,5,5,5,5,5,-7,-7,-7,5,5,5,1,4,4,4,1,4,4,4,4,4,3,2,2,3,3,-7,1,4,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,2,4,4,4,4,2,1,1,1,1,3,4,4,1,4,4,4,4,4,1,3,2,1,3,2,2,4,2,3,1,2,1,2,2,4,1,2,1,3,2,3,2,2,1,-5,-7,5,-5,2,9,5,7,4,8,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,1,4,4
1,5,1,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,1,-7,-7,-7,1,5,1,5,1,5,-9,1,5,5,5,5,5,5,5,1,1,5,-7,-7,-7,5,5,5,5,5,1,1,1,5,1,1,5,5,-7,-7,-7,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,-9,-9,-9,-9,-7,5,-7,2,-7,4,4,4,4,2,2,2,2,2,2,2,2,4,2,2,2,2,4,2,-7,3,3,4,3,2,4,3,4,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,1,5,5,5,5,5,5,4,2,4,2,4,4,2,4,4,3,1,2,1,1,2,4,-7,5,1,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,2,2,4,4,2,3,3,2,4,4,4,-7,4,4,4,4,4,1,4,1,2,3,-7,-7,-7,3,3,2,2,2,2,2,2,1,2,1,3,-8,-8,2,-7,2,2,-7,6,4,2,10,4,3,5,2,-7,-7,-7,-7,-7,-7,-7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,1,1,-7,-7,1,5,5,5,5,5,-9,1,5,1,5,5,5,1,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,5,5,1,5,5,1,5,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,1,5,5,5,1,5,5,5,1,1,1,5,5,1,1,1,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,-7,4,3,-7,-7,1,3,3,3,3,1,3,1,2,2,2,3,2,3,1,2,1,2,3,3,2,3,4,3,4,3,3,4,2,-7,-7,-7,-7,-7,-7,-7,5,5,5,1,5,5,5,5,5,5,1,4,3,4,1,1,2,1,4,4,2,3,1,4,4,-7,2,2,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,3,3,3,3,1,4,3,2,3,1,3,4,-7,-7,-7,4,4,4,4,4,1,3,2,1,3,1,2,3,3,1,1,2,3,4,3,2,2,3,2,1,1,2,2,1,-7,-7,-7,-7,-7,2,-7,7,7,7,5,-7,-7,-7,-7,-7,-7,-7,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,8,0,0,8,8
1,5,1,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,-7,-7,1,1,1,5,1,-5,-9,1,5,1,5,5,5,5,5,1,5,5,-7,-7,-7,5,5,5,5,5,1,5,5,-7,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-6,5,5,1,-9,-9,-9,-9,-7,3,-7,-7,-7,4,2,4,4,1,2,2,1,1,4,2,2,2,4,1,1,1,2,3,2,1,4,4,2,4,4,1,-7,1,-7,-7,-7,-7,-7,-7,5,5,5,5,5,-7,-7,-7,5,5,5,5,4,4,4,1,2,4,1,4,4,2,2,3,2,2,3,1,1,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2,1,4,1,4,4,4,3,2,3,2,1,4,4,1,4,4,4,4,4,1,4,2,1,3,1,1,4,2,3,1,3,1,3,3,3,1,2,1,3,3,3,2,2,1,-5,-7,9,-5,2,10,6,8,6,8,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,2,2
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-9,1,5,5,-7,-7,-7,-7,-7,1,1,5,5,-7,-7,5,5,5,5,5,5,1,1,1,5,1,5,5,5,5,5,1,-7,1,5,1,1,-7,1,5,5,5,5,5,5,5,5,5,5,5,-7,-7,-7,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,-7,5,-7,3,-7,3,4,4,4,2,3,2,3,2,3,2,3,3,3,2,2,3,3,3,-7,4,3,4,3,4,3,3,2,2,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,1,5,5,5,5,5,1,3,3,4,2,2,3,2,4,4,3,3,1,4,4,-7,4,3,5,5,5,5,1,5,5,1,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,4,4,3,3,3,3,4,3,1,-7,-7,4,4,-7,4,4,4,4,4,1,2,4,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,2,2,1,2,1,1,2,9,9,7,7,7,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,7,8,0,8,8
1,5,1,5,1,1,5,1,5,1,5,5,5,5,5,5,-7,-7,1,1,5,1,1,-5,-9,1,5,1,5,5,1,5,5,1,5,5,5,-7,-7,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,5,5,1,5,5,5,1,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,-7,2,-7,-7,-7,4,3,4,4,1,3,2,3,3,2,1,2,2,2,1,1,2,3,3,2,3,3,4,3,4,3,3,-7,2,-7,-7,-7,1,5,1,-7,5,5,5,5,-7,-7,-7,5,5,5,1,3,3,3,1,3,3,4,4,3,3,4,1,4,2,2,2,1,5,5,5,5,-7,-7,-7,-7,-7,1,1,1,5,5,5,5,5,5,5,5,1,3,2,2,3,4,3,2,3,2,2,3,3,4,-7,3,4,4,4,4,1,3,3,2,2,1,1,3,3,2,2,3,2,3,3,3,2,2,2,3,1,2,2,2,1,2,2,2,2,2,9,5,5,6,6,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,3,1,6,2
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,1,5,5,-7,-7,-7,-7,-7,-7,-7,-7,1,-7,-7,-7,5,5,5,5,5,-7,-7,5,-7,5,5,5,5,5,5,5,5,5,5,-7,5,1,5,5,1,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,1,5,5,-9,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,1,5,5,5,5,5,5,-7,5,-7,-7,-7,3,4,4,4,2,4,1,4,4,2,2,1,3,2,1,2,3,4,4,-7,3,4,3,4,4,4,3,3,2,-7,-7,-7,-7,-7,-7,-7,5,5,5,1,-7,-7,-7,5,5,5,1,4,3,4,1,4,4,4,4,4,3,3,3,4,4,-7,3,2,-7,-7,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,4,1,1,4,4,3,3,4,-7,2,3,4,4,1,4,4,4,4,4,1,3,2,1,2,1,2,3,2,3,2,2,2,1,2,2,1,2,1,-7,1,2,1,1,1,-5,1,5,-5,1,9,4,8,5,8,-7,-7,-7,-7,-7,-7,-7,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,3,3,6,8,6
-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,5,1,1,1,5,-7,-7,-7,-7,-7,-7,-7,-7,1,5,5,5,5,5,1,5,5,5,5,5,5,-7,-7,5,5,5,5,1,5,1,1,1,5,5,1,5,-6,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,5,5,5,-7,-7,-7,-7,-7,-7,5,1,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-6,5,5,5,5,5,5,-7,5,-7,-7,-7,3,4,3,4,1,4,1,3,3,1,1,1,2,1,1,1,3,4,4,-7,3,4,4,3,4,4,3,-7,3,-7,-7,-7,-7,-7,-7,-7,5,5,5,5,-7,-7,-7,5,5,5,1,4,3,4,1,4,4,4,4,4,3,2,2,4,2,-7,1,4,-7,5,5,5,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,1,2,2,3,3,4,4,4,3,2,4,4,4,4,-7,4,4,4,4,4,2,4,1,1,2,2,2,1,2,2,1,2,1,1,1,2,2,3,2,2,1,2,1,2,-7,-7,-7,-7,-7,2,10,4,7,3,7,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,5,0,0,5,2
